Winner,First Pick,Second Pick,Ban 1,Ban 2,Ban 3,Ban 4,Ban 5,Ban 6,Ban 7,Ban 8,Pick 1,Pick 2,Pick 3,Pick 4,Ban 9,Ban 10,Pick 5,Pick 6,Pick 7,Pick 8,Ban 11,Ban 12,Pick 9,Pick 10
Virtus.pro,Virtus.pro,Team Liquid,phoenix,techies,oracle,treant-protector,beastmaster,natures-prophet,dragon-knight,ember-spirit,queen-of-pain,vengeful-spirit,luna,shadow-demon,broodmother,mars,earth-spirit,earthshaker,lone-druid,lycan,death-prophet,batrider,morphling,puck
Virtus.pro,Team Liquid,Virtus.pro,techies,shadow-demon,treant-protector,ember-spirit,natures-prophet,queen-of-pain,lycan,phoenix,oracle,beastmaster,earthshaker,void-spirit,luna,death-prophet,enchantress,rubick,anti-mage,huskar,slardar,viper,axe,lina
Secret,Team Secret,Team Unique,bane,rubick,bristleback,enchantress,earth-spirit,lycan,witch-doctor,beastmaster,natures-prophet,vengeful-spirit,ember-spirit,void-spirit,luna,monkey-king,kunkka,lone-druid,phoenix,morphling,oracle,bloodseeker,pangolier,storm-spirit
Secret,Team Unique,Team Secret,enigma,beastmaster,rubick,earth-spirit,lone-druid,lycan,natures-prophet,enchantress,treant-protector,keeper-of-the-light,void-spirit,bane,ursa,batrider,luna,kunkka,spirit-breaker,lifestealer,pangolier,viper,queen-of-pain,vengeful-spirit
FlyToMoon,Team Empire,FlyToMoon,phoenix,chen,shadow-demon,natures-prophet,rubick,death-prophet,dragon-knight,beastmaster,ember-spirit,queen-of-pain,bane,keeper-of-the-light,morphling,batrider,grimstroke,clockwerk,lifestealer,legion-commander,templar-assassin,huskar,medusa,viper
Team Empire,Team Empire,FlyToMoon,phoenix,chen,rubick,natures-prophet,grimstroke,death-prophet,dragon-knight,ember-spirit,queen-of-pain,shadow-demon,mars,bane,viper,spectre,jakiro,dark-willow,slark,beastmaster,riki,kunkka,phantom-lancer,abaddon
FlyToMoon,Team Empire,FlyToMoon,phoenix,chen,rubick,beastmaster,grimstroke,natures-prophet,dragon-knight,death-prophet,queen-of-pain,bane,ember-spirit,oracle,keeper-of-the-light,spectre,jakiro,dark-willow,pangolier,troll-warlord,mars,phantom-lancer,batrider,slark
Sparking Arrow Gaming,Sparking Arrow Gaming,Vici Gaming,dragon-knight,chen,beastmaster,phoenix,vengeful-spirit,venomancer,grimstroke,queen-of-pain,clockwerk,disruptor,mars,anti-mage,lycan,viper,shadow-demon,treant-protector,luna,storm-spirit,earthshaker,puck,rubick,ember-spirit
Vici Gaming,Vici Gaming,Sparking Arrow Gaming,chen,beastmaster,venomancer,vengeful-spirit,anti-mage,dragon-knight,queen-of-pain,grimstroke,phoenix,pangolier,bane,mars,naga-siren,ember-spirit,rubick,ogre-magi,faceless-void,monkey-king,lina,viper,storm-spirit,puck
Vici Gaming,Sparking Arrow Gaming,Vici Gaming,beastmaster,chen,mars,phoenix,vengeful-spirit,anti-mage,dragon-knight,queen-of-pain,clockwerk,grimstroke,ember-spirit,venomancer,lycan,naga-siren,rubick,brewmaster,centaur-warrunner,lina,spectre,weaver,terrorblade,phantom-lancer
Vikin.gg,Alliance,ViKin.gg,lycan,dragon-knight,chen,phoenix,enchantress,beastmaster,treant-protector,batrider,earthshaker,vengeful-spirit,luna,queen-of-pain,natures-prophet,morphling,clockwerk,witch-doctor,necrophos,anti-mage,viper,templar-assassin,kunkka,ember-spirit
Vikin.gg,ViKin.gg,Alliance,dragon-knight,lycan,phoenix,enchantress,batrider,vengeful-spirit,earthshaker,chen,beastmaster,enigma,winter-wyvern,rubick,morphling,viper,ursa,grimstroke,axe,spectre,queen-of-pain,necrophos,ember-spirit,shadow-fiend
INVICTUS GAMING,INVICTUS GAMING,Vici Gaming,clockwerk,earthshaker,ember-spirit,vengeful-spirit,queen-of-pain,shadow-demon,tusk,ursa,phoenix,dragon-knight,mirana,bane,natures-prophet,lycan,beastmaster,abaddon,spectre,storm-spirit,terrorblade,grimstroke,clinkz,treant-protector
Vici Gaming,INVICTUS GAMING,Vici Gaming,clockwerk,vengeful-spirit,ember-spirit,phoenix,queen-of-pain,shadow-demon,tusk,ursa,earthshaker,disruptor,dragon-knight,enchantress,mirana,beastmaster,rubick,spectre,tidehunter,timbersaw,kunkka,monkey-king,storm-spirit,anti-mage
Vici Gaming,INVICTUS GAMING,Vici Gaming,dragon-knight,shadow-demon,clockwerk,phoenix,tusk,vengeful-spirit,keeper-of-the-light,beastmaster,nyx-assassin,rubick,mars,ursa,templar-assassin,tidehunter,lycan,winter-wyvern,grimstroke,centaur-warrunner,kunkka,viper,puck,ember-spirit
CDEC,CDEC,PSG.LGD,dragon-knight,phoenix,ember-spirit,ogre-magi,natures-prophet,queen-of-pain,beastmaster,vengeful-spirit,earthshaker,clockwerk,rubick,batrider,lifestealer,lycan,tidehunter,undying,phantom-lancer,leshrac,anti-mage,lina,slark,void-spirit
PSG.LGD,PSG.LGD,CDEC,viper,earthshaker,ogre-magi,queen-of-pain,treant-protector,ember-spirit,vengeful-spirit,beastmaster,phoenix,mars,silencer,clockwerk,lifestealer,spectre,weaver,dragon-knight,luna,shadow-demon,lycan,venomancer,riki,timbersaw
PSG.LGD,CDEC,PSG.LGD,dragon-knight,ogre-magi,ember-spirit,queen-of-pain,clockwerk,phoenix,beastmaster,treant-protector,earthshaker,vengeful-spirit,tiny,natures-prophet,medusa,ursa,spectre,necrophos,invoker,lifestealer,puck,enigma,void-spirit,batrider
Team Secret,OG,Team Secret,enchantress,natures-prophet,keeper-of-the-light,earth-spirit,kunkka,io,earthshaker,grimstroke,beastmaster,void-spirit,weaver,enigma,necrophos,bloodseeker,pangolier,shadow-shaman,lycan,tiny,naga-siren,storm-spirit,monkey-king,batrider
Vikin.gg,ViKin.gg,B8,monkey-king,lycan,phoenix,natures-prophet,axe,beastmaster,queen-of-pain,enchantress,chen,earthshaker,death-prophet,luna,terrorblade,clockwerk,witch-doctor,vengeful-spirit,batrider,invoker,legion-commander,broodmother,tusk,phantom-lancer
Vikin.gg,B8,ViKin.gg,natures-prophet,monkey-king,lycan,phoenix,chen,beastmaster,queen-of-pain,enchantress,vengeful-spirit,luna,grimstroke,batrider,oracle,terrorblade,treant-protector,earth-spirit,weaver,spectre,viper,timbersaw,kunkka,ember-spirit
Team Liquid,Team Liquid,FlyToMoon,batrider,lycan,beastmaster,ember-spirit,death-prophet,phoenix,natures-prophet,lone-druid,shadow-demon,rubick,queen-of-pain,mars,pangolier,visage,undying,vengeful-spirit,morphling,phantom-lancer,void-spirit,timbersaw,mirana,kunkka
Team Liquid,FlyToMoon,Team Liquid,lone-druid,batrider,lycan,beastmaster,death-prophet,natures-prophet,shadow-demon,rubick,phoenix,ember-spirit,keeper-of-the-light,mars,broodmother,bane,mirana,oracle,slardar,luna,queen-of-pain,visage,dragon-knight,templar-assassin
Nigma,B8,Nigma,natures-prophet,queen-of-pain,io,beastmaster,keeper-of-the-light,lycan,vengeful-spirit,oracle,enchantress,batrider,ember-spirit,nyx-assassin,chen,slark,clockwerk,storm-spirit,visage,phantom-lancer,axe,meepo,underlord,necrophos
Nigma,B8,Nigma,natures-prophet,lycan,io,beastmaster,ember-spirit,queen-of-pain,batrider,oracle,vengeful-spirit,enchantress,kunkka,monkey-king,mirana,pugna,viper,phoenix,earth-spirit,axe,lina,lifestealer,windranger,meepo
OG,OG,Team Unique,luna,io,beastmaster,enchantress,lycan,earth-spirit,troll-warlord,earthshaker,natures-prophet,grimstroke,ember-spirit,nyx-assassin,keeper-of-the-light,oracle,batrider,windranger,clockwerk,abaddon,monkey-king,broodmother,vengeful-spirit,phantom-lancer
Team Unique,Team Unique,OG,io,beastmaster,earthshaker,enchantress,vengeful-spirit,natures-prophet,phoenix,lycan,earth-spirit,lone-druid,batrider,bane,oracle,death-prophet,treant-protector,venomancer,chen,lifestealer,queen-of-pain,monkey-king,kunkka,clinkz
OG,OG,Team Unique,beastmaster,io,bane,enchantress,kunkka,natures-prophet,lycan,earthshaker,earth-spirit,oracle,death-prophet,vengeful-spirit,batrider,spectre,luna,shadow-demon,treant-protector,mirana,morphling,broodmother,drow-ranger,elder-titan
FlyToMoon,FlyToMoon,Alliance,death-prophet,queen-of-pain,beastmaster,batrider,dragon-knight,shadow-demon,ember-spirit,lycan,phoenix,enigma,earth-spirit,mars,lifestealer,spectre,enchantress,bane,riki,phantom-lancer,kunkka,leshrac,lina,zeus
FlyToMoon,FlyToMoon,Alliance,death-prophet,lycan,beastmaster,queen-of-pain,dragon-knight,phoenix,ember-spirit,bane,rubick,earthshaker,vengeful-spirit,jakiro,luna,pangolier,witch-doctor,clockwerk,spectre,lifestealer,viper,batrider,necrophos,pugna
B8,Team Unique,B8,ember-spirit,death-prophet,beastmaster,natures-prophet,earthshaker,enchantress,dragon-knight,lycan,queen-of-pain,oracle,monkey-king,earth-spirit,pangolier,luna,phoenix,grimstroke,axe,troll-warlord,kunkka,templar-assassin,timbersaw,viper
B8,B8,Team Unique,natures-prophet,monkey-king,death-prophet,beastmaster,lycan,phoenix,timbersaw,enchantress,oracle,earthshaker,queen-of-pain,rubick,chaos-knight,luna,ember-spirit,viper,keeper-of-the-light,axe,ursa,lifestealer,spectre,morphling
Nigma,ViKin.gg,Nigma,luna,natures-prophet,batrider,beastmaster,io,lycan,ember-spirit,chen,enchantress,kunkka,mirana,dragon-knight,meepo,riki,witch-doctor,shadow-demon,visage,templar-assassin,pangolier,phantom-lancer,enigma,pugna
Vikin.gg,ViKin.gg,Nigma,luna,beastmaster,batrider,lycan,io,natures-prophet,mirana,chen,enchantress,keeper-of-the-light,ember-spirit,earthshaker,meepo,riki,grimstroke,necrophos,visage,broodmother,ursa,kunkka,bloodseeker,storm-spirit
Nigma,ViKin.gg,Nigma,luna,lycan,batrider,natures-prophet,io,beastmaster,mirana,chen,enchantress,ember-spirit,keeper-of-the-light,earthshaker,meepo,necrophos,treant-protector,bloodseeker,queen-of-pain,dragon-knight,morphling,razor,viper,pugna
Alliance,Alliance,Ninjas in Pyjamas,lycan,death-prophet,oracle,beastmaster,shadow-demon,ember-spirit,earthshaker,batrider,dragon-knight,phoenix,timbersaw,grimstroke,witch-doctor,morphling,vengeful-spirit,mirana,luna,queen-of-pain,bloodseeker,meepo,weaver,viper
Alliance,Ninjas in Pyjamas,Alliance,death-prophet,lycan,beastmaster,oracle,ember-spirit,shadow-demon,dragon-knight,batrider,queen-of-pain,axe,phoenix,snapfire,grimstroke,spectre,bane,clockwerk,kunkka,ursa,necrophos,phantom-lancer,arc-warden,morphling
Team Empire,Team Empire,Team Liquid,visage,chen,phoenix,death-prophet,lycan,dragon-knight,queen-of-pain,beastmaster,natures-prophet,grimstroke,weaver,rubick,lone-druid,ursa,vengeful-spirit,enchantress,luna,spectre,ember-spirit,broodmother,storm-spirit,batrider
Team Liquid,Team Liquid,Team Empire,chen,visage,beastmaster,phoenix,natures-prophet,lycan,dragon-knight,shadow-demon,ember-spirit,death-prophet,oracle,keeper-of-the-light,troll-warlord,medusa,nyx-assassin,clockwerk,luna,mirana,phantom-lancer,kunkka,broodmother,timbersaw
Team Liquid,Team Empire,Team Liquid,visage,beastmaster,phoenix,natures-prophet,lycan,chen,shadow-demon,dragon-knight,death-prophet,ember-spirit,keeper-of-the-light,oracle,nyx-assassin,luna,clockwerk,dark-willow,pangolier,morphling,batrider,broodmother,riki,templar-assassin
Nigma,Nigma,Team Unique,enchantress,ember-spirit,lycan,beastmaster,bristleback,batrider,queen-of-pain,mirana,io,treant-protector,death-prophet,natures-prophet,kunkka,luna,witch-doctor,grimstroke,winter-wyvern,anti-mage,invoker,broodmother,phoenix,troll-warlord
Nigma,Nigma,Team Unique,enchantress,natures-prophet,bristleback,beastmaster,kunkka,batrider,luna,ember-spirit,io,earth-spirit,ancient-apparition,lycan,timbersaw,grimstroke,tidehunter,queen-of-pain,dragon-knight,slark,earthshaker,meepo,chen,chaos-knight
FlyToMoon,FlyToMoon,Ninjas in Pyjamas,vengeful-spirit,phoenix,chen,batrider,lycan,queen-of-pain,oracle,ember-spirit,rubick,beastmaster,enchantress,pangolier,luna,death-prophet,witch-doctor,jakiro,faceless-void,phantom-lancer,kunkka,leshrac,storm-spirit,puck
FlyToMoon,FlyToMoon,Ninjas in Pyjamas,vengeful-spirit,phoenix,chen,batrider,lycan,ember-spirit,oracle,rubick,queen-of-pain,dragon-knight,grimstroke,shadow-demon,beastmaster,clockwerk,earthshaker,undying,riki,spectre,death-prophet,necrophos,kunkka,enigma
Team Liquid,Team Liquid,Alliance,death-prophet,lycan,beastmaster,shadow-demon,dragon-knight,lone-druid,earthshaker,ember-spirit,phoenix,oracle,earth-spirit,mars,juggernaut,morphling,queen-of-pain,vengeful-spirit,batrider,weaver,broodmother,bloodseeker,mirana,faceless-void
Team Liquid,Alliance,Team Liquid,lycan,death-prophet,ember-spirit,beastmaster,shadow-demon,dragon-knight,oracle,earthshaker,vengeful-spirit,phoenix,axe,mirana,broodmother,bloodseeker,witch-doctor,disruptor,lone-druid,gyrocopter,necrophos,void-spirit,winter-wyvern,spectre
Nigma,OG,Nigma,vengeful-spirit,lycan,mirana,natures-prophet,keeper-of-the-light,enchantress,beastmaster,earth-spirit,io,ember-spirit,grimstroke,ursa,enigma,nyx-assassin,batrider,windranger,clockwerk,legion-commander,void-spirit,meepo,pangolier,necrophos
OG,OG,Nigma,beastmaster,lycan,ember-spirit,natures-prophet,grimstroke,earth-spirit,batrider,void-spirit,io,queen-of-pain,earthshaker,rubick,witch-doctor,spectre,keeper-of-the-light,luna,tiny,vengeful-spirit,underlord,meepo,kunkka,riki
OG,OG,Nigma,grimstroke,lycan,beastmaster,natures-prophet,ember-spirit,earth-spirit,batrider,void-spirit,io,vengeful-spirit,luna,kunkka,viper,troll-warlord,clockwerk,enchantress,meepo,elder-titan,underlord,shadow-demon,gyrocopter,doom
Ninjas in Pyjamas,Team Empire,Ninjas in Pyjamas,lycan,death-prophet,shadow-demon,natures-prophet,beastmaster,dark-willow,dragon-knight,queen-of-pain,chen,medusa,vengeful-spirit,nyx-assassin,kunkka,batrider,rubick,underlord,pangolier,slark,invoker,viper,templar-assassin,monkey-king
Ninjas in Pyjamas,Team Empire,Ninjas in Pyjamas,lycan,natures-prophet,beastmaster,death-prophet,dragon-knight,dark-willow,medusa,queen-of-pain,chen,ember-spirit,keeper-of-the-light,nyx-assassin,kunkka,batrider,enigma,pangolier,earthshaker,luna,invoker,templar-assassin,morphling,monkey-king
Ninjas in Pyjamas,Ninjas in Pyjamas,Team Liquid,phoenix,shadow-demon,dragon-knight,lycan,lone-druid,natures-prophet,ember-spirit,chen,earthshaker,oracle,death-prophet,ancient-apparition,beastmaster,morphling,enigma,queen-of-pain,void-spirit,doom,ursa,viper,spectre,broodmother
Team Liquid,Team Liquid,Ninjas in Pyjamas,lycan,phoenix,shadow-demon,grimstroke,natures-prophet,lone-druid,beastmaster,ember-spirit,vengeful-spirit,dragon-knight,enchantress,luna,ursa,rubick,enigma,earthshaker,clockwerk,batrider,death-prophet,queen-of-pain,razor,terrorblade
Team Liquid,Team Liquid,Ninjas in Pyjamas,lycan,phoenix,shadow-demon,grimstroke,natures-prophet,ember-spirit,beastmaster,vengeful-spirit,oracle,dragon-knight,enigma,huskar,ancient-apparition,batrider,witch-doctor,clockwerk,viper,pugna,razor,troll-warlord,mirana,chaos-knight
Vikin.gg,ViKin.gg,Team Unique,troll-warlord,lycan,luna,enchantress,rubick,natures-prophet,kunkka,dragon-knight,chen,witch-doctor,earth-spirit,beastmaster,weaver,death-prophet,gyrocopter,grimstroke,timbersaw,invoker,bloodseeker,viper,ursa,bristleback
Vikin.gg,Team Unique,ViKin.gg,lycan,luna,chen,beastmaster,natures-prophet,enchantress,ember-spirit,dragon-knight,grimstroke,queen-of-pain,earthshaker,rubick,ursa,kunkka,vengeful-spirit,gyrocopter,viper,invoker,centaur-warrunner,lifestealer,sand-king,spectre
Team Empire,Team Empire,Alliance,void-spirit,lycan,enchantress,dragon-knight,queen-of-pain,chen,beastmaster,natures-prophet,death-prophet,earthshaker,ember-spirit,oracle,shadow-demon,troll-warlord,ancient-apparition,clockwerk,enigma,spectre,batrider,anti-mage,invoker,morphling
Team Empire,Team Empire,Alliance,enchantress,lycan,void-spirit,death-prophet,beastmaster,dragon-knight,queen-of-pain,chen,natures-prophet,witch-doctor,earthshaker,clockwerk,necrophos,oracle,ember-spirit,dark-willow,dazzle,luna,underlord,spectre,legion-commander,slark
Vikin.gg,B8,ViKin.gg,lycan,monkey-king,grimstroke,earthshaker,chen,enchantress,dragon-knight,beastmaster,ember-spirit,natures-prophet,rubick,keeper-of-the-light,riki,kunkka,queen-of-pain,earth-spirit,vengeful-spirit,templar-assassin,axe,phantom-lancer,batrider,viper
Vikin.gg,ViKin.gg,B8,monkey-king,lycan,rubick,enchantress,chen,beastmaster,queen-of-pain,natures-prophet,dragon-knight,bane,earthshaker,grimstroke,morphling,riki,ember-spirit,vengeful-spirit,underlord,necrophos,ursa,viper,luna,terrorblade
Team Empire Hope,Team Empire Hope,B8,monkey-king,chen,earthshaker,lycan,batrider,beastmaster,ember-spirit,timbersaw,natures-prophet,queen-of-pain,pangolier,dragon-knight,luna,morphling,bane,grimstroke,terrorblade,underlord,phoenix,mars,dark-willow,sand-king
Team Empire Hope,B8,Team Empire Hope,chen,monkey-king,natures-prophet,earthshaker,death-prophet,batrider,dragon-knight,beastmaster,ember-spirit,morphling,oracle,ancient-apparition,nyx-assassin,templar-assassin,dark-willow,centaur-warrunner,mars,phantom-lancer,rubick,troll-warlord,puck,sven
Vikin.gg,EXTREMUM,ViKin.gg,chen,troll-warlord,natures-prophet,dragon-knight,grimstroke,queen-of-pain,ember-spirit,enchantress,phoenix,lycan,snapfire,kunkka,storm-spirit,morphling,earthshaker,rubick,lifestealer,enigma,bloodseeker,necrophos,bristleback,viper
EXTREMUM,ViKin.gg,EXTREMUM,troll-warlord,enchantress,kunkka,chen,dragon-knight,lycan,ember-spirit,queen-of-pain,natures-prophet,beastmaster,keeper-of-the-light,witch-doctor,luna,viper,tusk,tiny,monkey-king,shadow-fiend,slark,templar-assassin,morphling,storm-spirit
Vikin.gg,ViKin.gg,EXTREMUM,troll-warlord,enchantress,ember-spirit,chen,kunkka,lycan,dragon-knight,queen-of-pain,beastmaster,witch-doctor,tidehunter,rubick,luna,morphling,monkey-king,undying,natures-prophet,invoker,weaver,templar-assassin,spectre,terrorblade
B8,EXTREMUM,B8,beastmaster,lycan,bane,dragon-knight,monkey-king,queen-of-pain,ember-spirit,timbersaw,enchantress,axe,phoenix,troll-warlord,razor,batrider,ogre-magi,clockwerk,storm-spirit,puck,brewmaster,morphling,mirana,riki
EXTREMUM,EXTREMUM,B8,beastmaster,lycan,ember-spirit,dragon-knight,earthshaker,queen-of-pain,oracle,timbersaw,bane,axe,phoenix,mirana,riki,lifestealer,ogre-magi,wraith-king,luna,kunkka,storm-spirit,necrophos,void-spirit,death-prophet
B8,B8,EXTREMUM,lycan,dragon-knight,queen-of-pain,ember-spirit,phoenix,bane,troll-warlord,oracle,enchantress,kunkka,mirana,monkey-king,batrider,storm-spirit,shadow-demon,pangolier,riki,templar-assassin,beastmaster,viper,centaur-warrunner,razor
Team Empire Hope,ViKin.gg,Team Empire Hope,ember-spirit,lycan,chen,shadow-demon,kunkka,beastmaster,queen-of-pain,enchantress,dragon-knight,death-prophet,treant-protector,phoenix,lifestealer,grimstroke,mirana,jakiro,luna,natures-prophet,drow-ranger,enigma,gyrocopter,morphling
Team Empire Hope,Team Empire Hope,ViKin.gg,lycan,death-prophet,phoenix,queen-of-pain,dragon-knight,morphling,enchantress,natures-prophet,chen,grimstroke,riki,beastmaster,kunkka,luna,elder-titan,dark-willow,timbersaw,troll-warlord,ember-spirit,templar-assassin,shadow-fiend,storm-spirit
Team Empire Hope,Team Empire Hope,CYBERIUM.S,phoenix,natures-prophet,dark-willow,queen-of-pain,shadow-demon,oracle,beastmaster,dragon-knight,death-prophet,grimstroke,mars,chen,ancient-apparition,morphling,winter-wyvern,tiny,phantom-lancer,ember-spirit,alchemist,batrider,kunkka,timbersaw
Team Empire Hope,CYBERIUM.S,Team Empire Hope,natures-prophet,phoenix,dragon-knight,dark-willow,ember-spirit,shadow-demon,enchantress,beastmaster,chen,death-prophet,ancient-apparition,queen-of-pain,morphling,phantom-lancer,nyx-assassin,disruptor,kunkka,anti-mage,mars,faceless-void,void-spirit,lycan
EXTREMUM,EXTREMUM,CYBERIUM.S,dark-willow,natures-prophet,shadow-demon,queen-of-pain,chen,batrider,axe,dragon-knight,enchantress,phoenix,mars,riki,phantom-lancer,beastmaster,grimstroke,earthshaker,morphling,templar-assassin,necrophos,huskar,venomancer,razor
EXTREMUM,CYBERIUM.S,EXTREMUM,natures-prophet,dragon-knight,queen-of-pain,dark-willow,batrider,lycan,oracle,phoenix,enchantress,keeper-of-the-light,ember-spirit,axe,troll-warlord,morphling,tusk,earth-spirit,mirana,storm-spirit,anti-mage,medusa,slark,templar-assassin
B8,B8,Cyber Legacy,natures-prophet,ember-spirit,queen-of-pain,monkey-king,oracle,bane,dragon-knight,enchantress,earthshaker,phoenix,nyx-assassin,beastmaster,troll-warlord,lycan,luna,vengeful-spirit,dark-seer,morphling,kunkka,templar-assassin,shadow-fiend,lone-druid
B8,B8,Cyber Legacy,natures-prophet,monkey-king,queen-of-pain,bane,dragon-knight,ember-spirit,oracle,enchantress,earthshaker,phoenix,troll-warlord,batrider,nyx-assassin,medusa,silencer,ogre-magi,legion-commander,luna,kunkka,broodmother,pugna,lycan
Vikin.gg,ViKin.gg,Cyber Legacy,bane,lycan,luna,enchantress,troll-warlord,dragon-knight,queen-of-pain,shadow-demon,natures-prophet,oracle,necrophos,earthshaker,rubick,morphling,nyx-assassin,grimstroke,wraith-king,riki,viper,batrider,templar-assassin,ember-spirit
